tweet,user,location,date
@annelionaire @AusarMusic @cta This man really just snitched on annely 😂😂😂,CortlandWalker,"Chicago, IL",2019-10-22 15:06:18
"RT @cta: [Minor Delays / Reroute] 79 79th and 169 69th-UPS Express buses are temporarily rerouted via 79th, Western, Columbus, Kedzie, and…",transit_tweets,,2019-10-22 15:04:17
@AusarMusic @cta snitches get stitches 😠😤🔪,annelionaire,"Chicago, IL",2019-10-22 14:51:07
RT @cta: @annelionaire @AusarMusic We're coming for you; we have eyes everywhere. 👀,ChiCarlos96,Chicago,2019-10-22 14:50:13
RT @cta: @annelionaire @AusarMusic We're coming for you; we have eyes everywhere. 👀,transit_tweets,,2019-10-22 14:46:45
@cta how many light bulbs does the cta need to replace every year?,IwemaMichael,,2019-10-22 14:45:41
"RT @AndrewLHipp: Inadvertently got off the @cta Green Line a stop early this a.m., and look what was waiting on the rooftop there. I love C…",robjeny,near Chicago,2019-10-22 14:44:45
@cta this is EXACTLY what I want on my morning commute. Someone smoking inside the train 😒 #blueline https://t.co/gBoUvEL02p,Brisa_Irisss,"Chicago, IL",2019-10-22 14:42:49
@AusarMusic @cta LMFAO AJ... you’re an opp fr,annelionaire,"Chicago, IL",2019-10-22 14:38:04
RT @cta: @annelionaire @AusarMusic We're coming for you; we have eyes everywhere. 👀,AusarMusic,"Chicago, IL",2019-10-22 14:37:11
"@mharris621 @cta @chicagosmayor Hi there, apologies for the inconvenience. Please contact our customer service team… https://t.co/T6wTgRhpQs",VentraChicago,"Chicago, IL",2019-10-22 14:37:04
"@aperry23x @cta Don’t mind me, just yelling my frustrations into the void that is Twitter",jakelevinm,"Chicago, IL",2019-10-22 14:23:50
RT @cta: [Minor Delays] Brown Line trains are running w/residual delays following an earlier door problem at LaSalle/Van Buren. Service is…,transit_tweets,,2019-10-22 14:22:54
Hey @cta mind having your bus drivers use their turn signals before pulling out into traffic? This was at 9:12 befo… https://t.co/hjqXfYZ0AQ,timmycarr,Chicago,2019-10-22 14:19:41
RT @cta: [Minor Delays] Brown Line trains are standing at LaSalle/Van Buren due to a door problem. Crews working to restore service.,transit_tweets,,2019-10-22 14:19:37
